parameters,mean,std,naive_se,mcse,ess,rhat
b0,1.8446767206259653,0.23524308491373755,0.0016634198056974547,0.016476971064688515,42.249031400787786,1.1920246780918644
b1,2.189640454145282,0.17704722370330253,0.001251912924708562,0.012246256938059417,44.84368338783442,1.157766527740218
b2,1.9956404686948415,0.12591449501974206,0.0008903499327814173,0.008743581158812219,43.60458699927023,1.2531912675210255
b3,2.7216679941139823,0.17646333408833012,0.0012477842016464452,0.012186645914079548,46.20163501535686,1.1203222833102366
b4,2.6428261738235133,0.19606698439656337,0.0013864029423360682,0.013653112443753947,43.98982334457933,1.0051001953065204
h,0.5946802713931805,0.05513968794695121,0.0003898964725979931,0.0037708565038279433,47.5520925460566,1.0311263881154793
s8,0.6663366127036412,0.049808366821241706,0.00035219833939126733,0.0034856810879008416,42.72303181306411,1.1479027127685233
Ωm,0.3806925516318583,0.03178140281056562,0.00022472845442972518,0.002181547885695489,47.447424599076676,1.1428197873947692
